iter	Passed	Remaining
706	25211	10448
707	25242	10410
708	25274	10373
709	25305	10336
710	25338	10299
711	25370	10262
712	25402	10225
713	25433	10187
714	25465	10150
715	25496	10112
716	25527	10075
717	25559	10038
718	25592	10001
719	25623	9964
720	25655	9927
721	25686	9890
722	25718	9853
723	25751	9816
724	25783	9779
725	25818	9744
726	25850	9707
727	25881	9670
728	25914	9633
729	25945	9596
730	25976	9559
731	26008	9522
732	26040	9485
733	26071	9448
734	26103	9411
735	26136	9374
736	26167	9338
737	26199	9301
738	26231	9264
739	26264	9227
740	26297	9191
741	26328	9154
742	26359	9117
743	26391	9080
744	26423	9044
745	26455	9007
746	26486	8970
747	26521	8935
748	26555	8899
749	26588	8862
750	26619	8826
751	26651	8789
752	26683	8752
753	26715	8716
754	26750	8680
755	26782	8644
756	26813	8607
757	26846	8570
758	26877	8534
759	26909	8497
760	26940	8461
761	26972	8424
762	27005	8388
763	27037	8351
764	27069	8315
765	27101	8278
766	27132	8242
767	27165	8206
768	27197	8169
769	27231	8134
770	27263	8097
771	27294	8061
772	27325	8024
773	27358	7988
774	27391	7952
775	27423	7916
776	27458	7880
777	27489	7844
778	27522	7807
779	27553	7771
780	27585	7735
781	27617	7699
782	27653	7663
783	27685	7627
784	27716	7591
785	27747	7554
786	27779	7518
787	27810	7481
788	27842	7445
789	27873	7409
790	27906	7373
791	27937	7337
792	27970	7301
793	28003	7265
794	28035	7229
795	28066	7193
796	28098	7156
797	28130	7120
798	28162	7084
799	28195	7048
800	28227	7012
801	28259	6976
802	28291	6940
803	28323	6904
804	28355	6868
805	28388	6833
806	28420	6796
807	28451	6760
808	28484	6725
809	28515	6688
810	28548	6653
811	28584	6618
812	28616	6582
813	28649	6546
814	28680	6510
815	28713	6474
816	28744	6438
817	28776	6402
818	28808	6366
819	28839	6330
820	28871	6294
821	28902	6258
822	28935	6223
823	28968	6187
824	29000	6151
825	29031	6115
826	29063	6079
827	29096	6044
828	29133	6009
829	29167	5974
830	29199	5938
831	29234	5903
832	29265	5867
833	29299	5831
834	29331	5796
835	29363	5760
836	29395	5724
837	29427	5688
838	29458	5652
839	29493	5617
840	29526	5582
841	29558	5546
842	29591	5511
843	29623	5475
844	29655	5439
845	29685	5403
846	29716	5367
847	29749	5332
848	29781	5296
849	29813	5261
850	29845	5225
851	29878	5190
852	29909	5154
853	29941	5118
854	29972	5083
855	30004	5047
856	30036	5011
857	30083	4978
858	30128	4945
859	30171	4911
860	30212	4877
861	30249	4842
862	30281	4807
863	30313	4771
864	30345	4736
865	30378	4700
866	30410	4664
867	30441	4629
868	30473	4593
869	30505	4558
870	30540	4523
871	30572	4487
872	30605	4452
873	30637	4416
874	30669	4381
875	30702	4345
876	30734	4310
877	30766	4275
878	30799	4239
879	30831	4204
880	30863	4168
881	30894	4133
882	30925	4097
883	30958	4062
884	30990	4027
885	31022	3991
886	31055	3956
887	31087	3920
888	31119	3885
889	31152	3850
890	31184	3814
891	31216	3779
892	31247	3744
893	31279	3708
894	31311	3673
895	31346	3638
896	31378	3603
897	31410	3567
898	31442	3532
899	31474	3497
900	31506	3461
901	31537	3426
902	31570	3391
903	31601	3355
904	31633	3320
905	31666	3285
906	31698	3250
907	31729	3214
908	31761	3179
909	31793	3144
910	31825	3109
911	31858	3074
912	31889	3038
913	31921	3003
914	31953	2968
915	31984	2933
916	32016	2897
917	32051	2862
918	32083	2827
919	32115	2792
920	32147	2757
921	32180	2722
922	32212	2687
923	32248	2652
924	32280	2617
925	32313	2582
926	32346	2547
927	32378	2512
928	32410	2477
929	32442	2441
930	32474	2406
931	32505	2371
932	32538	2336
933	32571	2301
934	32603	2266
935	32636	2231
936	32669	2196
937	32702	2161
938	32735	2126
939	32766	2091
940	32798	2056
941	32829	2021
942	32861	1986
943	32893	1951
944	32923	1916
945	32955	1881
946	32989	1846
947	33021	1811
948	33053	1776
949	33085	1741
950	33118	1706
951	33150	1671
952	33185	1636
953	33216	1601
954	33247	1566
955	33279	1531
956	33311	1496
957	33343	1461
958	33376	1426
959	33407	1391
960	33439	1357
961	33472	1322
962	33503	1287
963	33535	1252
964	33569	1217
965	33601	1182
966	33633	1147
967	33674	1113
968	33726	1078
969	33774	1044
970	33820	1010
971	33869	975
972	33919	941
973	33967	906
974	34014	872
975	34064	837
976	34115	803
977	34159	768
978	34207	733
979	34255	699
980	34301	664
981	34348	629
982	34394	594
983	34440	560
984	34486	525
985	34531	490
986	34579	455
987	34625	420
988	34672	385
989	34720	350
990	34766	315
991	34813	280
992	34860	245
993	34906	210
994	34951	175
995	34998	140
996	35050	105
997	35095	70
998	35142	35
999	35187	0
